Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
2026,30,725,29.3,4.51,4.21,2634,1.00,0.00,0.00,0.06,0.25,8.86,8.19,4.51,4.14,1.15,3.41,0.10,8.37,0.43,0.03,0.30,37.88,1.309,.289,8.3,1.2,3.5,8.5,2.45,0.51
2025,30,873,29.2,4.45,4.15,4860,0.99,0.01,0.00,0.07,0.25,8.86,8.26,4.45,4.09,1.16,3.16,0.11,8.36,0.40,0.04,0.29,37.64,1.289,.291,8.4,1.2,3.2,8.5,2.64,0.50
2024,30,855,29.0,4.39,4.07,4858,0.99,0.01,0.00,0.07,0.25,8.88,8.20,4.39,4.02,1.12,3.07,0.10,8.48,0.42,0.04,0.30,37.56,1.270,.291,8.3,1.1,3.1,8.6,2.76,0.53
2023,30,863,28.9,4.62,4.33,4860,0.99,0.01,0.00,0.06,0.26,8.87,8.40,4.62,4.26,1.21,3.25,0.10,8.61,0.43,0.04,0.33,37.88,1.315,.297,8.5,1.2,3.3,8.7,2.65,0.52
2022,30,871,28.8,4.28,3.96,4860,0.99,0.01,0.00,0.07,0.25,8.86,8.16,4.28,3.90,1.07,3.06,0.10,8.40,0.42,0.03,0.33,37.46,1.266,.290,8.3,1.1,3.1,8.5,2.75,0.53
2021,30,909,28.7,4.53,4.26,4858,0.99,0.01,0.01,0.06,0.25,8.77,8.13,4.53,4.15,1.22,3.25,0.14,8.68,0.43,0.03,0.38,37.43,1.297,.292,8.3,1.3,3.3,8.9,2.67,0.54
2020,30,735,28.3,4.65,4.44,1796,0.98,0.02,0.01,0.06,0.23,8.61,8.04,4.65,4.25,1.28,3.39,0.11,8.68,0.46,0.04,0.38,37.03,1.327,.292,8.4,1.3,3.5,9.1,2.56,0.58
2019,30,831,28.4,4.83,4.49,4858,0.99,0.01,0.01,0.06,0.24,8.94,8.65,4.83,4.46,1.39,3.27,0.16,8.81,0.41,0.03,0.37,38.39,1.334,.298,8.7,1.4,3.3,8.9,2.69,0.60
2018,30,799,28.4,4.45,4.14,4862,0.99,0.01,0.00,0.06,0.26,8.94,8.44,4.45,4.12,1.15,3.23,0.19,8.48,0.40,0.03,0.38,38.08,1.304,.296,8.5,1.2,3.2,8.5,2.63,0.57
2017,30,755,28.5,4.65,4.35,4860,0.99,0.01,0.01,0.05,0.24,8.90,8.69,4.65,4.30,1.26,3.26,0.20,8.25,0.36,0.03,0.37,38.13,1.342,.300,8.8,1.3,3.3,8.3,2.53,0.58
2016,30,742,28.3,4.48,4.18,4856,0.98,0.02,0.01,0.06,0.26,8.92,8.71,4.48,4.14,1.16,3.11,0.19,8.03,0.34,0.03,0.37,38.01,1.325,.300,8.8,1.2,3.1,8.1,2.58,0.58
2015,30,735,28.4,4.25,3.95,4858,0.98,0.02,0.01,0.07,0.27,8.94,8.67,4.25,3.93,1.01,2.90,0.20,7.71,0.33,0.03,0.36,37.80,1.294,.299,8.7,1.0,2.9,7.8,2.66,0.58
2014,30,692,28.5,4.07,3.74,4860,0.98,0.02,0.01,0.07,0.26,8.97,8.56,4.07,3.73,0.86,2.88,0.20,7.70,0.34,0.03,0.35,37.85,1.275,.299,8.6,0.9,2.9,7.7,2.67,0.60
2013,30,679,28.4,4.17,3.86,4862,0.97,0.03,0.01,0.07,0.26,8.98,8.66,4.17,3.85,0.96,3.01,0.21,7.55,0.32,0.03,0.36,38.02,1.300,.297,8.7,1.0,3.0,7.6,2.51,0.56
